z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
810.0,9.534450111878472,0.0,0.0,0.0,0.06127837066020144,0.06127837066020144,0.056651189496595346,0.0
830.0,9.549735744612681,0.0,0.0,0.0,0.060923645010216416,0.060923645010216416,0.05526823055066109,0.0
850.0,9.564657398900465,0.0,0.0,0.0,0.06052522537334359,0.06052522537334359,0.053752125596405034,0.0
870.0,9.579232006316575,0.0,0.0,0.0,0.06008154702516277,0.06008154702516277,0.052106527063457087,0.0
890.0,9.593475343804258,0.0,0.0,0.0,0.05959076357222818,0.05959076357222818,0.050335399342820546,0.0
910.0,9.607402136331295,0.0,0.0,0.0,0.05905069621902322,0.05905069621902322,0.04844300923630686,0.0
930.0,9.62102614838499,0.0,0.0,0.0,0.05845876903709042,0.05845876903709042,0.046433915677436446,0.0
950.0,9.634360265731301,0.0,0.0,0.0,0.057811925596205925,0.057811925596205925,0.04431295874856843,0.0
970.0,9.647416568655458,0.0,0.0,0.0,0.05710652035512725,0.05710652035512725,0.042085248020718335,0.0
990.0,9.660206397727398,0.0,0.0,0.0,0.05633817523959648,0.05633817523959648,0.039756150244153965,0.0
1010.0,9.672740412989269,0.0,0.0,0.0,0.05550158723060558,0.05550158723060558,0.037331276419423916,0.0
1030.0,9.685028647339074,0.0,0.0,0.0,0.05459026545071896,0.05459026545071896,0.034816468279965866,0.0
1050.0,9.697080554780257,0.0,0.0,0.0,0.05359616418854653,0.05359616418854653,0.032217784218858896,0.0
1070.0,9.708905054118604,0.0,0.0,0.0,0.052509157810490745,0.052509157810490745,0.029541484693624116,0.0
1090.0,9.720510568612402,0.0,0.0,0.0,0.05131626722266067,0.05131626722266067,0.026794017144233906,0.0
1110.0,9.731905062017411,0.0,0.0,0.0,0.05000048018235195,0.05000048018235195,0.02398200046066454,0.0
1130.0,9.743096071412998,0.0,0.0,0.0,0.048538875486398736,0.048538875486398736,0.021112209037410255,0.0
1150.0,9.754090737148324,0.0,0.0,0.0,0.04689948309316804,0.04689948309316804,0.018191556453373767,0.0
1170.0,9.76489583020656,0.0,0.0,0.0,0.04503567680292619,0.04503567680292619,0.015227078816448943,0.0
1190.0,9.775517777249755,0.0,0.0,0.0,0.04287527862702937,0.04287527862702937,0.01222591781292071,0.0
1210.0,9.785962683576322,0.0,0.0,0.0,0.0402968012389566,0.0402968012389566,0.009195303502517196,0.0
1230.0,9.796236354196514,0.0,0.0,0.0,0.03706812080905362,0.03706812080905362,0.006142536900562684,0.0
1250.0,9.806344313208015,0.0,0.0,0.0,0.032637201451945645,0.032637201451945645,0.0030749723891919994,0.0
1270.0,9.816291821633602,0.0,0.0,0.0,0.02480389140546298,0.02480389140546298,7.674614999607284e-18,0.0
